col1,col2,col3,col4,col5,col6,class
0.71,0.58,0.56,0.65,0.6,-32,1
0.61,0.52,0.53,0.65,0.56,-203,0
0.63,0.51,0.56,0.65,0.52,-169,0
0.63,0.52,0.56,0.66,0.52,487,2
0.64,0.55,0.6,0.67,0.53,139,2
0.62,0.54,0.54,0.66,0.54,-225,0
0.63,0.5,0.55,0.65,0.51,19,2
0.64,0.51,0.56,0.66,0.52,37,2
0.64,0.53,0.57,0.65,0.53,-76,0
0.64,0.52,0.56,0.66,0.52,78,2
0.64,0.51,0.57,0.65,0.51,99,2
0.65,0.52,0.59,0.66,0.51,315,2
0.73,0.53,0.56,0.66,0.53,-169,0
0.65,0.51,0.56,0.65,0.52,-80,0
0.65,0.53,0.56,0.66,0.52,390,2
0.72,0.52,0.56,0.65,0.52,5,2
0.68,0.52,0.55,0.65,0.51,-142,0
0.64,0.52,0.55,0.66,0.53,-94,0
0.65,0.52,0.57,0.66,0.52,151,2
0.64,0.54,0.57,0.65,0.54,402,2
0.65,0.6,0.59,0.65,0.63,-340,1
0.63,0.49,0.58,0.66,0.53,100,2
0.64,0.51,0.58,0.66,0.51,77,2
0.65,0.51,0.58,0.66,0.5,41,2
0.65,0.52,0.57,0.66,0.5,45,2
0.65,0.52,0.56,0.65,0.51,66,2
0.63,0.51,0.57,0.66,0.51,51,2
0.65,0.51,0.57,0.66,0.51,50,2
0.64,0.51,0.57,0.67,0.51,55,2
0.65,0.52,0.59,0.65,0.52,54,2
0.68,0.53,0.58,0.65,0.51,36,2
0.67,0.47,0.58,0.65,0.52,41,2
0.67,0.53,0.58,0.66,0.51,10,2
0.65,0.53,0.57,0.65,0.51,39,2
0.64,0.52,0.57,0.66,0.52,144,2
0.67,0.53,0.57,0.66,0.49,652,2
0.72,0.53,0.54,0.66,0.51,71,2
0.69,0.53,0.53,0.66,0.52,-363,0
0.65,0.52,0.57,0.65,0.52,439,2
0.71,0.54,0.58,0.67,0.52,767,2
0.73,0.54,0.54,0.67,0.53,-445,0
0.65,0.51,0.53,0.66,0.53,-285,0
0.63,0.53,0.56,0.65,0.52,-67,0
0.63,0.53,0.57,0.66,0.53,715,2
0.74,0.54,0.56,0.69,0.54,88,3
0.69,0.54,0.52,0.66,0.54,-303,0
0.66,0.53,0.54,0.65,0.54,72,2
0.65,0.53,0.54,0.65,0.52,-128,0
0.63,0.53,0.56,0.66,0.52,-52,0
0.64,0.53,0.58,0.65,0.52,114,2
0.64,0.53,0.57,0.65,0.52,231,2
0.64,0.59,0.55,0.65,0.58,31,2
0.68,0.59,0.56,0.65,0.61,93,3
0.64,0.5,0.55,0.66,0.53,-146,0
0.63,0.51,0.56,0.67,0.51,458,2
0.65,0.54,0.56,0.65,0.54,118,2
0.68,0.64,0.58,0.67,0.6,-37,1
0.68,0.62,0.58,0.66,0.59,-98,1
0.65,0.51,0.56,0.67,0.54,-124,0
0.65,0.51,0.56,0.66,0.51,5,2
0.64,0.52,0.57,0.65,0.5,83,2
0.65,0.56,0.57,0.65,0.53,265,2
0.75,0.67,0.59,0.68,0.62,-81,1
0.67,0.56,0.6,0.65,0.56,-268,0
0.63,0.5,0.57,0.66,0.52,15,2
0.64,0.5,0.56,0.66,0.55,456,2
0.69,0.58,0.6,0.66,0.61,73,3
0.7,0.6,0.63,0.69,0.68,9,3
0.65,0.53,0.6,0.66,0.55,-137,0
0.63,0.5,0.58,0.65,0.51,16,2
0.65,0.53,0.57,0.66,0.51,-4,0
0.65,0.51,0.57,0.65,0.47,84,2
0.65,0.51,0.58,0.65,0.51,47,2
0.65,0.52,0.58,0.65,0.51,116,2
0.65,0.51,0.57,0.66,0.53,80,2
0.65,0.51,0.57,0.66,0.53,165,2
0.65,0.51,0.57,0.65,0.52,76,2
0.68,0.6,0.59,0.66,0.6,151,3
0.69,0.58,0.6,0.66,0.63,-3,1
0.65,0.51,0.59,0.65,0.52,-105,0
0.65,0.5,0.59,0.65,0.5,6,2
0.64,0.5,0.6,0.66,0.52,129,2
0.65,0.51,0.6,0.65,0.51,126,2
0.67,0.6,0.6,0.66,0.58,127,3
0.7,0.61,0.6,0.66,0.62,26,3
0.65,0.49,0.57,0.66,0.53,-212,0
0.65,0.49,0.58,0.66,0.51,-41,0
0.64,0.5,0.59,0.66,0.51,64,2
0.65,0.51,0.59,0.65,0.51,113,2
0.65,0.49,0.59,0.65,0.51,430,2
0.68,0.51,0.59,0.66,0.51,-24,0
0.77,0.54,0.65,0.67,0.54,-198,1
0.78,0.54,0.64,0.67,0.54,148,3
0.69,0.51,0.57,0.65,0.53,41,2
0.63,0.5,0.55,0.65,0.52,-96,0
0.64,0.51,0.57,0.66,0.51,-38,0
0.63,0.52,0.59,0.66,0.5,112,2
0.64,0.52,0.57,0.65,0.52,19,2
0.63,0.53,0.56,0.65,0.55,56,2
0.65,0.58,0.56,0.65,0.57,140,2
0.66,0.71,0.58,0.67,0.77,170,3
0.66,0.7,0.6,0.66,0.76,12,3
0.65,0.56,0.55,0.65,0.6,80,2
0.65,0.47,0.55,0.66,0.48,-82,0
0.65,0.48,0.55,0.66,0.51,-34,0
0.65,0.49,0.56,0.67,0.5,85,2
0.65,0.49,0.54,0.66,0.5,57,2
0.65,0.49,0.55,0.66,0.51,49,2
0.65,0.49,0.55,0.65,0.51,58,2
0.65,0.49,0.55,0.66,0.52,53,2
0.66,0.55,0.59,0.68,0.57,34,3
0.66,0.55,0.58,0.68,0.54,58,2
0.65,0.54,0.58,0.67,0.54,34,2
0.66,0.55,0.56,0.67,0.54,55,2
0.67,0.56,0.61,0.67,0.53,64,2
0.67,0.56,0.57,0.66,0.54,67,2
0.65,0.57,0.57,0.66,0.54,-128,0
0.66,0.54,0.58,0.7,0.55,-13,0
0.68,0.54,0.58,0.72,0.54,243,3
0.66,0.51,0.58,0.68,0.54,-29,0
0.65,0.57,0.59,0.68,0.54,-192,0
0.69,0.6,0.6,0.75,0.55,331,3
0.68,0.49,0.59,0.68,0.54,215,2
0.67,0.49,0.57,0.67,0.54,-134,0
0.68,0.52,0.58,0.66,0.52,111,2
0.66,0.56,0.58,0.66,0.53,54,2
0.66,0.62,0.58,0.66,0.55,120,3
0.67,0.54,0.57,0.66,0.54,87,2
0.66,0.53,0.58,0.68,0.53,-68,0
0.66,0.56,0.58,0.66,0.54,-37,0
0.67,0.58,0.6,0.68,0.55,229,3
0.66,0.52,0.57,0.69,0.55,11,2
0.67,0.52,0.58,0.67,0.54,61,2
0.67,0.57,0.6,0.67,0.54,-192,1
0.66,0.61,0.6,0.68,0.55,327,3
0.66,0.5,0.59,0.68,0.54,107,2
0.67,0.54,0.6,0.68,0.54,-64,0
0.68,0.54,0.6,0.66,0.54,-263,0
0.66,0.64,0.6,0.68,0.56,363,3
0.66,0.5,0.59,0.68,0.55,123,2
0.67,0.53,0.6,0.66,0.54,-85,0
0.67,0.53,0.6,0.68,0.54,-102,0
0.66,0.67,0.6,0.67,0.57,166,3
0.65,0.55,0.6,0.68,0.55,238,2
0.66,0.51,0.6,0.68,0.54,-273,0
0.66,0.53,0.62,0.68,0.52,-50,0
0.65,0.53,0.61,0.67,0.52,283,2
0.69,0.57,0.62,0.68,0.58,172,3
0.68,0.63,0.63,0.71,0.64,4,3
0.66,0.55,0.62,0.69,0.59,27,3
0.65,0.55,0.59,0.69,0.56,99,2
0.65,0.55,0.59,0.67,0.54,50,2
0.65,0.56,0.59,0.67,0.56,82,2
0.66,0.55,0.58,0.66,0.54,54,2
0.66,0.54,0.58,0.66,0.54,71,2
0.65,0.54,0.58,0.66,0.54,46,2
0.66,0.54,0.59,0.66,0.55,35,2
0.68,0.59,0.58,0.71,0.57,141,3
0.67,0.52,0.58,0.67,0.54,130,2
0.65,0.52,0.58,0.66,0.55,-230,0
0.68,0.65,0.59,0.72,0.56,62,3
0.7,0.61,0.59,0.73,0.56,317,3
0.67,0.46,0.56,0.65,0.55,148,2
0.65,0.5,0.57,0.66,0.54,-130,0
0.65,0.57,0.58,0.68,0.56,19,2
0.68,0.65,0.6,0.75,0.59,115,3
0.67,0.51,0.57,0.67,0.56,93,2
0.65,0.48,0.56,0.65,0.54,50,2
0.65,0.54,0.57,0.67,0.55,37,2
0.71,0.68,0.61,0.74,0.58,116,3
0.7,0.55,0.6,0.7,0.56,66,3
0.65,0.47,0.56,0.65,0.54,44,2
0.65,0.51,0.57,0.65,0.54,35,2
0.67,0.63,0.59,0.68,0.55,89,3
0.71,0.63,0.59,0.72,0.58,-29,1
0.66,0.49,0.56,0.65,0.55,4,2
0.65,0.49,0.56,0.65,0.54,75,2
0.65,0.51,0.58,0.65,0.54,141,2
0.7,0.72,0.6,0.72,0.58,-1,1
0.7,0.55,0.58,0.7,0.57,4,3
0.65,0.46,0.57,0.66,0.54,4,2
0.65,0.49,0.58,0.65,0.53,73,2
0.65,0.48,0.58,0.65,0.53,26,2
0.64,0.51,0.58,0.66,0.53,54,2
0.65,0.5,0.57,0.65,0.53,51,2
0.65,0.51,0.57,0.66,0.55,18,2
0.65,0.51,0.58,0.65,0.54,26,2
0.65,0.52,0.58,0.65,0.54,56,2
0.65,0.52,0.58,0.65,0.53,54,2
0.65,0.52,0.57,0.66,0.53,58,2
0.65,0.53,0.58,0.65,0.53,50,2
0.65,0.53,0.57,0.66,0.53,63,2
0.65,0.53,0.57,0.66,0.53,67,2
0.69,0.52,0.57,0.66,0.53,101,2
0.65,0.53,0.56,0.66,0.54,99,2
0.65,0.53,0.57,0.66,0.54,81,2
0.65,0.54,0.56,0.66,0.53,85,2
0.65,0.53,0.56,0.65,0.53,38,2
0.65,0.54,0.56,0.65,0.53,61,2
0.65,0.54,0.58,0.66,0.52,79,2
0.65,0.55,0.56,0.66,0.53,127,2
0.67,0.65,0.58,0.7,0.54,45,3
0.71,0.61,0.6,0.74,0.57,-48,1
0.66,0.5,0.58,0.67,0.55,62,2
0.65,0.5,0.56,0.65,0.53,10,2
0.65,0.63,0.57,0.67,0.53,72,3
0.73,0.67,0.63,0.76,0.59,91,3
0.68,0.5,0.58,0.69,0.57,-4,0
0.65,0.49,0.56,0.65,0.51,58,2
0.65,0.58,0.56,0.65,0.53,41,2
0.71,0.69,0.61,0.75,0.59,138,3
0.68,0.5,0.57,0.68,0.56,-46,0
0.65,0.48,0.56,0.66,0.53,3,2
0.66,0.5,0.57,0.66,0.53,-6,0
0.64,0.52,0.57,0.65,0.52,435,2
0.7,0.58,0.56,0.68,0.59,173,3
0.69,0.6,0.57,0.7,0.65,-195,1
0.59,0.52,0.56,0.65,0.55,-202,0
0.64,0.51,0.58,0.65,0.52,583,2
0.71,0.63,0.57,0.69,0.62,66,3
0.67,0.6,0.59,0.7,0.64,-346,1
0.59,0.51,0.56,0.66,0.54,-30,0
0.62,0.52,0.57,0.65,0.53,77,2
0.63,0.52,0.57,0.66,0.53,140,2
0.64,0.56,0.57,0.64,0.53,-468,0
0.67,0.57,0.58,0.75,0.62,-253,1
0.86,0.71,0.64,0.86,0.81,431,3
0.81,0.64,0.62,0.8,0.76,318,3
0.66,0.52,0.57,0.66,0.58,-21,0
0.65,0.53,0.56,0.65,0.55,-79,0
0.67,0.57,0.57,0.69,0.58,-96,1
0.67,0.55,0.58,0.69,0.55,231,2
0.65,0.53,0.57,0.67,0.54,44,2
0.65,0.53,0.57,0.68,0.54,33,2
0.65,0.54,0.56,0.67,0.53,68,2
0.65,0.54,0.56,0.66,0.53,40,2
0.65,0.55,0.56,0.67,0.54,129,2
0.65,0.57,0.57,0.66,0.53,71,2
0.69,0.64,0.57,0.71,0.56,-254,1
0.69,0.58,0.57,0.72,0.58,130,3
0.65,0.47,0.56,0.65,0.53,31,2
0.65,0.51,0.55,0.65,0.53,-51,0
0.65,0.54,0.55,0.66,0.54,174,2
0.66,0.63,0.57,0.7,0.56,121,3
0.69,0.6,0.59,0.73,0.57,0,3
0.65,0.49,0.55,0.67,0.54,-1,0
0.65,0.5,0.56,0.65,0.53,35,2
0.65,0.54,0.55,0.66,0.53,133,2
0.69,0.67,0.58,0.74,0.58,109,3
0.68,0.52,0.57,0.69,0.56,-35,0
0.65,0.48,0.56,0.65,0.53,62,2
0.65,0.5,0.56,0.65,0.53,22,2
0.65,0.52,0.56,0.66,0.53,-405,0
0.67,0.61,0.59,0.74,0.58,109,3
0.69,0.56,0.58,0.73,0.57,409,3
0.67,0.44,0.55,0.66,0.54,61,2
0.65,0.5,0.55,0.66,0.53,-323,0
0.66,0.61,0.57,0.72,0.57,176,3
0.7,0.62,0.59,0.75,0.57,251,3
0.66,0.42,0.55,0.68,0.53,-20,0
0.67,0.5,0.55,0.65,0.53,-58,0
0.65,0.5,0.56,0.66,0.54,117,2
0.69,0.55,0.56,0.68,0.53,112,2
0.74,0.69,0.6,0.81,0.63,345,3
0.7,0.62,0.59,0.77,0.65,-22,1
0.61,0.46,0.55,0.66,0.56,-98,0
0.63,0.51,0.56,0.65,0.53,212,2
0.69,0.6,0.57,0.68,0.56,-51,1
0.76,0.75,0.61,0.81,0.71,419,3
0.69,0.59,0.58,0.74,0.64,-45,1
0.65,0.52,0.56,0.66,0.52,50,2
0.65,0.54,0.56,0.66,0.53,55,2
0.65,0.53,0.56,0.66,0.52,54,2
0.65,0.53,0.56,0.66,0.53,54,2
0.65,0.53,0.55,0.65,0.5,51,2
0.65,0.53,0.55,0.68,0.53,54,2
0.64,0.54,0.56,0.66,0.53,56,2
0.65,0.53,0.56,0.65,0.52,52,2
0.65,0.53,0.56,0.66,0.52,52,2
0.65,0.53,0.57,0.66,0.53,59,2
0.65,0.54,0.58,0.64,0.51,22,2
