col1,col2,col3,col4,col5,col6,class
0.7,0.66,0.58,0.76,0.6,11,3
0.72,0.64,0.59,0.77,0.62,13,3
0.66,0.51,0.57,0.67,0.55,67,2
0.67,0.53,0.56,0.67,0.54,-40,0
0.66,0.52,0.56,0.68,0.55,-189,0
0.69,0.55,0.56,0.69,0.55,-162,0
0.72,0.61,0.63,0.75,0.55,199,3
0.78,0.64,0.67,0.77,0.58,171,3
0.68,0.53,0.58,0.66,0.56,127,2
0.65,0.54,0.56,0.66,0.54,32,2
0.67,0.53,0.57,0.68,0.55,-166,0
0.69,0.55,0.58,0.71,0.54,-410,1
0.74,0.56,0.69,0.73,0.56,176,3
0.77,0.58,0.79,0.78,0.61,390,3
0.69,0.54,0.63,0.68,0.58,189,3
0.67,0.55,0.58,0.65,0.55,-109,0
0.66,0.56,0.56,0.69,0.54,-465,0
0.74,0.61,0.71,0.8,0.59,298,3
0.74,0.6,0.71,0.76,0.6,247,3
0.67,0.54,0.57,0.64,0.55,248,2
0.66,0.54,0.56,0.65,0.55,66,2
0.67,0.55,0.56,0.65,0.55,18,2
0.7,0.58,0.62,0.69,0.57,-15,1
0.71,0.6,0.61,0.72,0.59,186,3
0.68,0.54,0.55,0.65,0.55,181,2
0.67,0.53,0.56,0.67,0.55,20,2
0.67,0.56,0.57,0.67,0.55,63,2
0.66,0.55,0.58,0.68,0.56,34,2
0.67,0.57,0.58,0.69,0.56,17,3
0.67,0.55,0.57,0.7,0.56,77,3
0.66,0.56,0.58,0.68,0.54,58,2
0.67,0.56,0.58,0.68,0.54,67,2
0.68,0.56,0.58,0.68,0.55,161,3
0.69,0.56,0.57,0.68,0.54,230,2
0.69,0.55,0.57,0.69,0.55,138,3
0.69,0.55,0.59,0.72,0.56,-84,1
0.74,0.62,0.67,0.86,0.55,203,3
0.79,0.65,0.79,0.88,0.63,90,3
0.71,0.57,0.64,0.68,0.57,-120,1
0.66,0.52,0.56,0.62,0.56,-37,0
0.67,0.54,0.56,0.65,0.55,152,2
0.67,0.54,0.57,0.67,0.55,-341,0
0.72,0.58,0.64,0.73,0.55,46,3
0.78,0.67,0.79,0.85,0.6,229,3
0.73,0.62,0.71,0.74,0.61,131,3
0.67,0.53,0.59,0.63,0.57,35,2
0.66,0.56,0.56,0.64,0.55,-256,0
0.68,0.54,0.57,0.65,0.55,100,2
0.67,0.54,0.57,0.65,0.55,35,2
0.67,0.55,0.56,0.65,0.55,59,2
0.66,0.55,0.58,0.66,0.56,60,2
0.66,0.55,0.56,0.66,0.56,54,2
0.66,0.56,0.56,0.66,0.55,-51,0
0.67,0.55,0.56,0.71,0.56,64,3
0.72,0.65,0.68,0.85,0.59,118,3
0.73,0.62,0.7,0.8,0.61,6,3
0.69,0.54,0.61,0.65,0.56,49,3
0.67,0.53,0.56,0.64,0.54,42,2
0.67,0.53,0.56,0.66,0.56,67,2
0.66,0.56,0.56,0.67,0.55,48,2
0.67,0.54,0.56,0.66,0.55,56,2
0.67,0.55,0.56,0.67,0.54,56,2
0.67,0.54,0.56,0.66,0.55,56,2
0.66,0.53,0.57,0.66,0.55,54,2
0.68,0.55,0.57,0.67,0.55,54,2
0.67,0.54,0.56,0.68,0.55,55,2
0.68,0.57,0.57,0.67,0.55,58,2
0.67,0.54,0.56,0.67,0.55,59,2
0.67,0.56,0.55,0.67,0.56,44,2
0.67,0.56,0.56,0.67,0.55,61,2
0.67,0.56,0.56,0.68,0.57,49,2
0.67,0.51,0.57,0.68,0.56,41,2
0.66,0.55,0.57,0.67,0.55,60,2
0.67,0.55,0.56,0.67,0.55,29,2
0.67,0.56,0.57,0.67,0.55,85,2
0.66,0.57,0.57,0.69,0.55,60,2
0.67,0.56,0.57,0.67,0.54,47,2
0.66,0.58,0.56,0.66,0.54,83,2
0.68,0.56,0.58,0.7,0.56,-175,1
0.73,0.68,0.71,0.78,0.58,138,3
0.79,0.77,0.8,0.83,0.62,162,3
0.75,0.63,0.73,0.76,0.61,-78,1
0.68,0.49,0.6,0.62,0.55,94,2
0.66,0.51,0.56,0.64,0.53,86,2
0.67,0.53,0.58,0.66,0.53,29,2
0.67,0.55,0.57,0.65,0.54,60,2
0.69,0.54,0.55,0.67,0.55,23,2
0.66,0.54,0.57,0.67,0.54,-198,0
0.7,0.6,0.65,0.72,0.56,29,3
0.77,0.69,0.72,0.76,0.61,201,3
0.76,0.63,0.71,0.75,0.62,181,3
0.69,0.45,0.59,0.63,0.56,122,2
0.68,0.48,0.57,0.62,0.54,-4,0
0.67,0.53,0.57,0.65,0.55,56,2
0.67,0.54,0.56,0.65,0.54,55,2
0.66,0.53,0.56,0.66,0.55,37,2
0.67,0.54,0.57,0.66,0.55,73,2
0.66,0.55,0.57,0.65,0.53,46,2
0.67,0.55,0.55,0.66,0.54,-215,0
0.66,0.54,0.58,0.66,0.55,-56,0
0.71,0.61,0.66,0.72,0.59,171,3
0.74,0.63,0.67,0.75,0.6,109,3
0.69,0.5,0.6,0.63,0.56,39,2
0.67,0.53,0.56,0.64,0.54,-18,0
0.66,0.54,0.57,0.65,0.53,344,2
0.7,0.6,0.63,0.67,0.56,213,3
0.66,0.56,0.56,0.67,0.55,51,2
0.66,0.57,0.57,0.67,0.56,54,2
0.67,0.56,0.57,0.67,0.56,54,2
0.67,0.57,0.57,0.67,0.56,54,2
0.67,0.55,0.57,0.67,0.56,53,2
0.66,0.55,0.58,0.65,0.58,51,2
0.66,0.56,0.57,0.68,0.56,8,2
0.66,0.57,0.58,0.67,0.55,-2,0
0.66,0.56,0.57,0.67,0.55,100,2
0.69,0.58,0.58,0.67,0.55,-63,1
0.69,0.58,0.61,0.72,0.59,46,3
0.71,0.61,0.62,0.73,0.6,168,3
0.69,0.52,0.58,0.68,0.56,125,2
0.67,0.53,0.57,0.65,0.54,-61,0
0.67,0.54,0.56,0.66,0.55,68,2
0.66,0.56,0.59,0.69,0.57,-147,1
0.72,0.65,0.66,0.75,0.59,159,3
0.72,0.64,0.66,0.74,0.58,305,3
0.67,0.46,0.56,0.63,0.56,-38,0
0.66,0.54,0.57,0.65,0.55,66,2
0.66,0.56,0.57,0.68,0.54,-223,0
0.73,0.65,0.68,0.76,0.58,146,3
0.77,0.68,0.73,0.77,0.61,239,3
0.69,0.49,0.64,0.68,0.58,39,3
0.66,0.49,0.57,0.62,0.54,109,2
0.66,0.54,0.57,0.65,0.54,-9,0
0.65,0.54,0.56,0.65,0.53,-111,0
0.65,0.56,0.57,0.66,0.57,10,2
0.69,0.58,0.65,0.66,0.58,206,3
0.73,0.6,0.67,0.7,0.62,247,3
0.68,0.57,0.62,0.69,0.57,181,3
0.65,0.54,0.55,0.65,0.55,-44,0
0.64,0.55,0.58,0.66,0.56,-46,0
0.66,0.55,0.57,0.67,0.56,46,2
0.67,0.56,0.56,0.67,0.54,292,2
0.69,0.57,0.57,0.66,0.55,365,2
0.7,0.56,0.59,0.72,0.59,126,3
0.73,0.58,0.61,0.72,0.62,-153,1
0.7,0.57,0.58,0.69,0.58,102,3
0.68,0.54,0.56,0.67,0.56,-297,0
0.69,0.56,0.57,0.66,0.55,53,2
0.67,0.55,0.57,0.67,0.56,52,2
0.67,0.55,0.57,0.67,0.55,57,2
0.68,0.55,0.56,0.67,0.56,52,2
0.67,0.55,0.55,0.67,0.54,53,2
0.68,0.55,0.57,0.68,0.57,54,3
0.67,0.55,0.56,0.66,0.55,42,2
0.68,0.56,0.56,0.65,0.55,55,2
0.67,0.55,0.56,0.67,0.55,41,2
0.68,0.55,0.58,0.65,0.54,49,2
0.67,0.56,0.56,0.68,0.54,54,2
0.68,0.56,0.57,0.66,0.54,-42,0
0.67,0.56,0.57,0.68,0.55,-75,0
0.69,0.6,0.63,0.7,0.53,-113,1
0.76,0.67,0.75,0.78,0.6,219,3
0.75,0.66,0.77,0.79,0.61,102,3
0.68,0.49,0.63,0.65,0.57,-33,0
0.66,0.49,0.56,0.64,0.54,113,2
0.67,0.54,0.54,0.65,0.54,34,2
0.68,0.52,0.57,0.65,0.54,52,2
0.66,0.53,0.56,0.67,0.54,76,2
0.67,0.57,0.63,0.67,0.54,397,3
0.73,0.59,0.71,0.69,0.6,183,3
0.72,0.58,0.7,0.74,0.62,-118,1
0.66,0.55,0.6,0.66,0.56,-6,0
0.65,0.54,0.57,0.66,0.56,3,2
0.66,0.56,0.57,0.66,0.54,-49,0
0.66,0.55,0.56,0.66,0.55,82,2
0.66,0.55,0.57,0.67,0.55,41,2
0.67,0.55,0.59,0.66,0.55,386,2
0.7,0.6,0.63,0.67,0.55,238,3
0.78,0.62,0.73,0.72,0.63,-192,1
0.75,0.6,0.66,0.7,0.62,-79,1
0.71,0.53,0.52,0.65,0.55,20,2
0.69,0.53,0.55,0.65,0.54,-6,0
0.69,0.53,0.56,0.66,0.55,-6,0
0.71,0.56,0.57,0.65,0.55,392,2
0.72,0.59,0.61,0.67,0.57,37,3
0.74,0.6,0.6,0.68,0.6,-127,1
0.68,0.55,0.55,0.69,0.55,136,2
0.7,0.56,0.58,0.67,0.54,57,3
0.66,0.54,0.57,0.66,0.54,65,2
0.68,0.56,0.58,0.67,0.55,50,2
0.68,0.56,0.57,0.66,0.55,48,2
0.67,0.54,0.58,0.66,0.55,53,2
0.67,0.54,0.57,0.67,0.55,156,2
0.66,0.57,0.63,0.66,0.55,35,3
0.68,0.57,0.62,0.67,0.55,-35,1
0.67,0.56,0.6,0.66,0.54,-24,0
0.67,0.56,0.59,0.66,0.53,113,2
0.68,0.55,0.57,0.66,0.54,34,2
0.67,0.56,0.57,0.66,0.55,71,2
0.66,0.55,0.57,0.66,0.54,49,2
0.68,0.56,0.58,0.66,0.54,49,2
0.68,0.56,0.58,0.67,0.54,340,2
0.67,0.56,0.59,0.66,0.54,546,2
0.68,0.57,0.58,0.66,0.55,166,2
0.69,0.56,0.58,0.66,0.55,-52,0
0.68,0.56,0.58,0.65,0.55,112,2
0.69,0.58,0.59,0.66,0.56,63,3
0.72,0.58,0.65,0.67,0.61,23,3
0.71,0.57,0.62,0.67,0.6,-104,1
0.68,0.55,0.55,0.66,0.54,88,2
0.69,0.55,0.56,0.65,0.54,-5,0
0.68,0.55,0.58,0.66,0.53,244,2
0.69,0.58,0.56,0.66,0.56,84,3
0.71,0.59,0.63,0.68,0.6,28,3
0.7,0.56,0.59,0.68,0.56,-32,1
0.68,0.54,0.53,0.66,0.53,-128,0
0.67,0.55,0.56,0.66,0.54,-58,0
0.68,0.54,0.57,0.66,0.55,7,2
0.68,0.55,0.58,0.66,0.54,83,2
0.67,0.54,0.58,0.67,0.54,46,2
0.68,0.55,0.59,0.66,0.53,40,2
0.67,0.54,0.57,0.68,0.54,15,2
0.66,0.55,0.59,0.67,0.53,56,2
0.67,0.55,0.57,0.67,0.54,-55,0
0.66,0.56,0.6,0.67,0.54,110,2
0.71,0.6,0.72,0.72,0.62,207,3
0.72,0.6,0.72,0.73,0.65,-5,1
0.67,0.56,0.57,0.67,0.54,55,2
0.67,0.55,0.56,0.66,0.54,55,2
0.67,0.55,0.56,0.67,0.54,54,2
0.67,0.6,0.56,0.66,0.54,50,2
0.67,0.55,0.56,0.66,0.55,53,2
0.67,0.54,0.56,0.67,0.55,49,2
0.67,0.55,0.56,0.66,0.54,55,2
0.67,0.56,0.57,0.67,0.53,48,2
0.68,0.55,0.56,0.67,0.53,55,2
0.66,0.55,0.57,0.67,0.55,37,2
0.68,0.55,0.57,0.66,0.54,6,2
0.67,0.57,0.56,0.68,0.54,315,2
0.69,0.55,0.6,0.66,0.54,362,2
0.72,0.61,0.76,0.79,0.59,122,3
0.75,0.59,0.77,0.78,0.59,-141,1
0.66,0.54,0.62,0.66,0.56,-98,0
0.67,0.54,0.57,0.66,0.55,-72,0
0.67,0.56,0.58,0.66,0.54,7,2
0.68,0.55,0.6,0.66,0.54,108,2
0.67,0.56,0.58,0.67,0.54,15,2
0.66,0.55,0.57,0.66,0.54,96,2
0.66,0.56,0.58,0.66,0.54,475,2
0.7,0.61,0.62,0.66,0.58,-48,1
0.73,0.71,0.67,0.68,0.64,80,3
0.71,0.65,0.64,0.67,0.62,-103,1
0.66,0.53,0.57,0.66,0.54,-122,0
0.67,0.53,0.56,0.68,0.54,36,2
0.69,0.54,0.56,0.66,0.54,39,2
0.67,0.54,0.58,0.68,0.54,65,2
0.67,0.53,0.56,0.68,0.54,46,2
0.67,0.54,0.57,0.68,0.54,-45,0
0.72,0.54,0.59,0.69,0.53,-84,1
0.69,0.55,0.58,0.69,0.54,10,3
0.76,0.59,0.65,0.82,0.56,132,3
0.85,0.58,0.67,0.88,0.6,153,3
0.86,0.57,0.67,0.89,0.6,-5,1
0.72,0.52,0.6,0.75,0.54,108,3
0.66,0.51,0.55,0.64,0.53,-25,0
0.66,0.53,0.56,0.64,0.53,66,2
0.66,0.52,0.57,0.64,0.52,30,2
0.67,0.53,0.57,0.67,0.54,36,2
0.66,0.54,0.56,0.66,0.55,63,2
0.67,0.53,0.56,0.66,0.54,13,2
0.69,0.54,0.57,0.68,0.54,84,2
0.66,0.54,0.56,0.67,0.54,42,2
0.67,0.55,0.57,0.67,0.54,56,2
0.66,0.54,0.55,0.66,0.53,53,2
0.66,0.54,0.56,0.66,0.53,50,2
0.66,0.54,0.56,0.66,0.53,25,2
0.67,0.55,0.56,0.67,0.54,70,2
0.66,0.54,0.56,0.66,0.54,73,2
0.67,0.54,0.56,0.66,0.55,22,2
0.66,0.54,0.57,0.67,0.54,77,2
0.68,0.54,0.56,0.66,0.54,38,2
0.68,0.54,0.56,0.66,0.55,46,2
0.65,0.54,0.56,0.66,0.54,84,2
0.67,0.57,0.57,0.66,0.54,367,2
0.67,0.58,0.57,0.66,0.55,277,2
0.7,0.65,0.61,0.68,0.64,143,3
0.73,0.71,0.67,0.72,0.77,136,3
0.72,0.67,0.65,0.69,0.71,-161,1
0.68,0.56,0.58,0.67,0.55,-126,0
0.68,0.53,0.54,0.65,0.51,-210,0
0.67,0.53,0.55,0.66,0.53,13,2
0.66,0.53,0.55,0.66,0.53,35,2
0.67,0.54,0.56,0.66,0.53,51,2
0.67,0.54,0.57,0.66,0.54,25,2
0.67,0.54,0.55,0.66,0.53,7,2
0.66,0.54,0.56,0.67,0.54,280,2
0.71,0.59,0.57,0.7,0.61,245,3
0.75,0.62,0.6,0.73,0.65,154,3
0.72,0.58,0.57,0.69,0.59,-10,1
0.66,0.52,0.55,0.65,0.55,-270,0
0.65,0.52,0.55,0.65,0.52,39,2
0.66,0.54,0.57,0.66,0.53,64,2
0.66,0.57,0.59,0.68,0.56,-357,1
0.72,0.65,0.68,0.72,0.72,183,3
0.75,0.69,0.73,0.78,0.77,458,3
0.71,0.6,0.64,0.73,0.65,170,3
0.67,0.52,0.57,0.67,0.54,-221,0
0.66,0.54,0.57,0.67,0.54,47,2
0.67,0.53,0.56,0.67,0.53,72,2
0.66,0.54,0.56,0.65,0.54,45,2
0.67,0.53,0.55,0.65,0.53,59,2
0.67,0.56,0.56,0.66,0.53,45,2
0.66,0.54,0.56,0.66,0.53,64,2
0.66,0.53,0.56,0.66,0.53,51,2
0.65,0.53,0.56,0.66,0.53,59,2
0.67,0.54,0.56,0.66,0.54,64,2
0.66,0.53,0.56,0.66,0.53,40,2
0.66,0.53,0.56,0.66,0.52,4,2
0.66,0.54,0.56,0.66,0.56,67,2
0.66,0.54,0.58,0.66,0.54,20,2
0.66,0.56,0.59,0.66,0.54,344,2
0.7,0.62,0.66,0.67,0.64,204,3
0.7,0.6,0.69,0.67,0.65,-222,1
0.67,0.55,0.52,0.66,0.56,-68,0
0.66,0.54,0.54,0.65,0.54,86,2
0.66,0.53,0.55,0.65,0.54,-25,0
0.66,0.53,0.55,0.65,0.53,24,2
0.66,0.53,0.57,0.65,0.53,3,2
0.65,0.55,0.58,0.66,0.54,270,2
0.67,0.57,0.62,0.65,0.54,45,3
0.71,0.61,0.71,0.68,0.57,265,3
0.74,0.65,0.83,0.75,0.63,160,3
0.72,0.6,0.75,0.7,0.6,-186,1
0.67,0.53,0.61,0.65,0.55,-217,0
0.65,0.52,0.57,0.65,0.53,111,2
0.65,0.52,0.57,0.65,0.52,42,2
0.65,0.53,0.57,0.65,0.53,59,2
0.65,0.54,0.57,0.66,0.53,7,2
0.66,0.53,0.59,0.67,0.54,82,2
0.69,0.59,0.59,0.7,0.64,55,3
0.76,0.63,0.64,0.72,0.74,62,3
0.79,0.65,0.65,0.74,0.77,205,3
0.75,0.61,0.64,0.73,0.7,168,3
0.67,0.53,0.56,0.69,0.55,-230,0
0.67,0.54,0.56,0.66,0.52,-69,0
0.65,0.53,0.56,0.66,0.52,99,2
0.65,0.51,0.56,0.66,0.53,29,2
0.67,0.55,0.57,0.67,0.54,53,2
0.67,0.54,0.56,0.66,0.52,79,2
0.65,0.55,0.55,0.66,0.55,24,2
0.66,0.54,0.56,0.67,0.53,-46,0
0.66,0.53,0.57,0.66,0.53,209,2
0.67,0.54,0.56,0.67,0.56,77,2
0.66,0.55,0.56,0.67,0.56,12,2
0.65,0.54,0.57,0.67,0.54,53,2
0.66,0.54,0.56,0.67,0.55,59,2
0.65,0.54,0.55,0.66,0.57,2,2
0.64,0.54,0.58,0.66,0.54,95,2
0.65,0.54,0.57,0.67,0.57,562,2
0.67,0.56,0.55,0.67,0.58,705,2
0.68,0.57,0.54,0.68,0.58,-56,1
0.67,0.57,0.56,0.68,0.58,-403,1
0.66,0.58,0.57,0.68,0.57,23,3
0.71,0.62,0.58,0.71,0.64,134,3
0.76,0.67,0.63,0.76,0.81,228,3
0.76,0.63,0.61,0.74,0.72,78,3
0.67,0.54,0.56,0.68,0.54,-291,0
0.66,0.54,0.57,0.66,0.54,69,2
0.66,0.53,0.56,0.66,0.55,87,2
0.66,0.58,0.56,0.68,0.57,41,3
0.73,0.61,0.6,0.73,0.6,375,3
0.79,0.63,0.62,0.74,0.65,199,3
0.72,0.57,0.58,0.7,0.58,-139,1
0.67,0.52,0.56,0.66,0.54,-472,0
0.65,0.52,0.55,0.67,0.55,52,2
0.66,0.54,0.56,0.68,0.57,-109,0
0.7,0.56,0.56,0.7,0.61,18,3
0.77,0.58,0.61,0.71,0.67,144,3
0.77,0.59,0.62,0.71,0.66,223,3
0.7,0.56,0.57,0.68,0.59,49,3
0.65,0.54,0.55,0.65,0.54,-35,0
0.67,0.52,0.55,0.65,0.54,-14,0
0.65,0.53,0.56,0.66,0.54,-1,0
0.65,0.53,0.57,0.67,0.55,96,2
0.66,0.53,0.57,0.68,0.54,85,2
0.67,0.54,0.57,0.71,0.58,51,3
0.66,0.54,0.58,0.71,0.59,95,3
0.66,0.55,0.55,0.66,0.55,46,2
0.66,0.55,0.56,0.66,0.54,62,2
0.66,0.55,0.56,0.66,0.53,54,2
0.67,0.55,0.56,0.66,0.54,51,2
0.66,0.55,0.56,0.67,0.54,54,2
0.66,0.55,0.56,0.65,0.55,54,2
0.66,0.55,0.56,0.66,0.54,53,2
0.66,0.53,0.55,0.65,0.54,53,2
0.65,0.54,0.56,0.66,0.54,55,2
0.66,0.54,0.56,0.65,0.51,55,2
0.66,0.55,0.56,0.66,0.53,54,2
0.66,0.55,0.55,0.65,0.54,48,2
0.66,0.55,0.56,0.66,0.54,56,2
0.66,0.54,0.55,0.65,0.53,52,2
0.66,0.55,0.55,0.65,0.53,59,2
0.65,0.53,0.56,0.65,0.54,-13,0
0.65,0.53,0.56,0.67,0.56,178,2
0.66,0.57,0.55,0.65,0.57,582,2
0.68,0.6,0.55,0.7,0.6,306,3
0.72,0.61,0.58,0.71,0.63,44,3
0.77,0.65,0.62,0.76,0.79,61,3
0.74,0.61,0.62,0.73,0.67,-177,1
0.67,0.52,0.54,0.66,0.51,-523,0
0.67,0.52,0.54,0.65,0.54,-2,0
0.65,0.52,0.56,0.67,0.54,20,2
0.65,0.53,0.56,0.67,0.54,134,2
0.66,0.54,0.56,0.66,0.56,-40,0
0.75,0.61,0.57,0.71,0.64,119,3
0.77,0.65,0.6,0.74,0.68,282,3
0.7,0.55,0.55,0.68,0.57,159,3
0.65,0.52,0.55,0.65,0.52,50,2
0.66,0.53,0.56,0.66,0.54,65,2
0.65,0.52,0.54,0.66,0.54,-207,0
0.67,0.55,0.55,0.7,0.6,26,3
0.74,0.59,0.61,0.74,0.65,144,3
0.76,0.59,0.64,0.73,0.65,288,3
0.71,0.55,0.61,0.69,0.63,-56,1
0.65,0.53,0.53,0.65,0.54,-134,0
0.65,0.52,0.53,0.66,0.53,-2,0
0.65,0.53,0.55,0.68,0.54,52,2
0.67,0.52,0.56,0.66,0.55,35,2
0.67,0.53,0.55,0.65,0.55,23,2
0.66,0.53,0.56,0.65,0.56,12,2
0.66,0.52,0.57,0.69,0.53,-1,0
0.65,0.53,0.57,0.65,0.54,8,2
0.65,0.53,0.57,0.65,0.53,42,2
0.65,0.53,0.56,0.65,0.53,58,2
0.65,0.53,0.56,0.65,0.53,54,2
0.65,0.53,0.56,0.65,0.54,50,2
0.65,0.53,0.57,0.65,0.56,51,2
0.66,0.54,0.58,0.66,0.54,52,2
0.65,0.53,0.57,0.65,0.53,53,2
0.63,0.55,0.56,0.65,0.54,55,2
0.65,0.54,0.57,0.65,0.55,54,2
0.65,0.53,0.57,0.65,0.54,50,2
0.66,0.52,0.56,0.65,0.55,60,2
0.66,0.54,0.57,0.65,0.55,-25,0
0.65,0.54,0.56,0.66,0.57,-55,0
0.67,0.57,0.56,0.76,0.6,110,3
0.75,0.62,0.65,0.78,0.73,245,3
0.7,0.56,0.57,0.72,0.58,36,3
0.66,0.52,0.54,0.65,0.53,-146,0
0.66,0.52,0.55,0.65,0.54,-170,0
0.68,0.54,0.57,0.69,0.59,-208,1
0.79,0.63,0.69,0.8,0.68,438,3
0.76,0.58,0.63,0.74,0.63,259,3
0.66,0.52,0.54,0.62,0.53,-157,0
0.66,0.52,0.56,0.65,0.54,-180,0
0.67,0.54,0.56,0.66,0.58,14,2
0.75,0.58,0.63,0.71,0.63,356,3
0.75,0.58,0.64,0.69,0.63,103,3
0.66,0.52,0.56,0.65,0.56,-207,0
0.66,0.53,0.55,0.65,0.54,29,2
0.66,0.53,0.57,0.66,0.54,-137,0
0.73,0.6,0.58,0.8,0.65,470,3
0.83,0.69,0.75,0.94,0.84,358,3
0.76,0.61,0.63,0.75,0.67,-57,1
0.72,0.58,0.58,0.7,0.6,-142,1
0.71,0.57,0.59,0.7,0.57,-19,1
0.69,0.58,0.6,0.7,0.58,24,3
0.7,0.57,0.61,0.7,0.6,50,3
0.71,0.58,0.61,0.7,0.59,52,3
0.71,0.57,0.61,0.69,0.58,50,3
0.71,0.58,0.6,0.7,0.58,54,3
0.71,0.57,0.61,0.71,0.58,49,3
0.69,0.58,0.6,0.69,0.58,58,3
0.7,0.57,0.6,0.7,0.59,41,3
0.71,0.57,0.6,0.7,0.6,52,3
0.7,0.57,0.6,0.7,0.59,63,3
0.71,0.58,0.62,0.69,0.6,48,3
0.69,0.6,0.59,0.73,0.61,363,3
0.76,0.65,0.6,0.78,0.75,136,3
0.74,0.61,0.6,0.74,0.65,-232,1
0.72,0.58,0.6,0.69,0.57,-173,1
0.7,0.57,0.6,0.7,0.57,34,3
0.71,0.57,0.61,0.71,0.58,60,3
0.71,0.57,0.6,0.7,0.58,89,3
0.7,0.57,0.6,0.69,0.59,9,3
0.71,0.56,0.61,0.7,0.6,72,3
0.7,0.57,0.6,0.7,0.59,119,3
0.7,0.57,0.6,0.76,0.62,92,3
0.77,0.65,0.66,0.83,0.7,112,3
0.82,0.67,0.74,0.88,0.79,167,3
0.82,0.66,0.76,0.85,0.78,17,3
0.81,0.65,0.74,0.82,0.75,71,3
0.76,0.6,0.65,0.74,0.65,-34,1
0.71,0.55,0.58,0.67,0.58,-197,1
0.7,0.55,0.6,0.69,0.58,39,3
0.7,0.56,0.59,0.68,0.57,18,3
0.7,0.55,0.58,0.69,0.58,126,3
0.69,0.55,0.58,0.69,0.57,14,3
0.71,0.59,0.59,0.7,0.59,185,3
0.8,0.63,0.63,0.78,0.65,191,3
0.84,0.67,0.67,0.8,0.71,215,3
0.83,0.67,0.67,0.77,0.7,305,3
0.76,0.61,0.61,0.72,0.64,-52,1
0.7,0.56,0.58,0.64,0.55,-301,0
0.68,0.55,0.59,0.66,0.54,-163,0
0.68,0.55,0.6,0.69,0.57,39,3
0.68,0.55,0.59,0.71,0.58,91,3
0.7,0.57,0.61,0.69,0.58,81,3
0.71,0.57,0.59,0.68,0.57,64,3
0.71,0.57,0.59,0.7,0.58,146,3
0.73,0.57,0.63,0.7,0.6,360,3
0.76,0.58,0.65,0.69,0.6,583,3
0.82,0.61,0.79,0.74,0.65,61,3
0.9,0.62,0.84,0.74,0.71,-31,1
0.92,0.61,0.86,0.76,0.73,62,3
0.9,0.63,0.84,0.76,0.72,-7,1
0.83,0.62,0.76,0.74,0.67,-323,1
0.72,0.56,0.58,0.68,0.59,-243,1
0.67,0.58,0.57,0.67,0.55,49,2
0.7,0.57,0.61,0.67,0.55,180,3
0.69,0.56,0.59,0.69,0.57,-43,1
0.69,0.56,0.6,0.68,0.57,135,3
0.73,0.58,0.62,0.71,0.59,189,3
0.77,0.6,0.63,0.72,0.64,49,3
0.8,0.61,0.64,0.74,0.66,55,3
0.8,0.62,0.65,0.74,0.67,-27,1
0.74,0.59,0.61,0.73,0.62,-3,1
0.7,0.57,0.57,0.68,0.53,2,3
0.69,0.56,0.6,0.68,0.55,33,3
0.7,0.56,0.6,0.68,0.56,55,3
0.71,0.55,0.6,0.69,0.57,-71,1
0.7,0.56,0.6,0.7,0.58,68,3
0.71,0.57,0.62,0.7,0.61,-26,1
0.74,0.58,0.63,0.73,0.65,48,3
0.76,0.61,0.65,0.73,0.65,134,3
0.77,0.63,0.66,0.73,0.66,92,3
0.76,0.6,0.65,0.72,0.65,100,3
0.71,0.57,0.61,0.7,0.59,-171,1
0.69,0.56,0.57,0.7,0.56,-80,1
0.68,0.56,0.59,0.7,0.56,-64,1
0.7,0.57,0.59,0.7,0.57,191,3
0.7,0.56,0.6,0.74,0.59,75,3
0.74,0.61,0.66,0.83,0.68,78,3
0.77,0.63,0.74,0.86,0.72,126,3
0.77,0.63,0.76,0.88,0.74,78,3
0.78,0.62,0.76,0.87,0.73,65,3
0.75,0.6,0.7,0.8,0.66,-77,1
0.73,0.6,0.63,0.74,0.61,-224,1
0.7,0.6,0.63,0.72,0.59,-11,1
0.72,0.57,0.63,0.71,0.62,-163,1
0.7,0.57,0.62,0.69,0.58,-126,1
0.71,0.56,0.61,0.69,0.57,-45,1
0.7,0.56,0.62,0.67,0.59,26,3
0.72,0.53,0.62,0.7,0.58,60,3
0.71,0.57,0.61,0.69,0.59,50,3
0.7,0.56,0.62,0.68,0.59,50,3
0.7,0.55,0.61,0.68,0.57,37,3
0.7,0.55,0.62,0.71,0.59,79,3
0.71,0.56,0.62,0.69,0.59,-391,1
0.72,0.62,0.61,0.75,0.65,-19,1
0.76,0.65,0.63,0.81,0.74,62,3
0.76,0.65,0.63,0.85,0.79,428,3
0.76,0.62,0.61,0.81,0.73,295,3
0.7,0.56,0.59,0.69,0.6,-158,1
0.69,0.55,0.6,0.67,0.55,-109,1
0.69,0.54,0.6,0.68,0.56,67,3
0.68,0.55,0.62,0.69,0.57,65,3
0.7,0.57,0.6,0.68,0.56,138,3
0.71,0.56,0.6,0.69,0.56,206,3
0.71,0.56,0.63,0.7,0.57,291,3
0.76,0.56,0.68,0.74,0.63,10,3
0.88,0.58,0.76,0.72,0.64,128,3
0.88,0.59,0.79,0.72,0.65,-23,1
0.81,0.58,0.72,0.71,0.62,-251,1
0.67,0.54,0.63,0.68,0.6,-59,1
0.69,0.57,0.6,0.68,0.58,216,3
0.69,0.56,0.59,0.68,0.59,164,3
